name,sinta_id,dept,sinta_score,sinta_3yr_score,affil_score,affil_3yr_score,scopus_h_index,gs_h_index,wos_h_index,scopus_i10_index,gs_i10_index,wos_i10_index,scopus_g_index,gs_g_index,wos_g_index,scopus_article,scopus_citation,scopus_cited_document,gs_article,gs_citation,gs_cited_document,wos_article,wos_citation,wos_cited_document
SYIFAUL FUADA,5981677,S1 - Sistem Telekomunikasi,3.290,1.358,0,0,13,20,7,19,49,4,1,1,2,76,482,65,246,1439,155,42,139,32
DINIE ANGGRAENI DEWI,6684318,S1 - PGSD Kampus Cibiru,1.477,1.360,0,0,0,10,0,0,14,0,0,1,1,0,0,0,373,878,194,1,0,0
JULIA,5975686,S1 - PGSD Kampus Sumedang,1.834,1.170,0,0,7,13,3,4,15,0,1,2,2,43,142,33,127,712,71,7,16,5
AHMAD BUKHORI MUSLIM,5974554,S3 - Pendidikan Bahasa Inggris,663,378,0,0,3,6,1,0,5,0,1,2,1,13,23,7,61,212,22,3,2,1
WAWAN SETIAWAN,5977494,S2 - Pendidikan Ilmu Komputer,1.992,1.166,0,0,8,18,,7,37,,1,1,,74,190,45,268,1626,159,0,0,0
YAYAN SANJAYA,5978995,S2 - Pendidikan Biologi,1.121,454,0,0,3,9,,0,9,,1,1,,41,39,17,112,322,56,0,0,0
TAUFIK RAHMAN,6081100,S2 - Pendidikan Ilmu Pengetahuan Alam,572,326,0,0,2,8,,0,6,,1,1,,17,16,7,71,205,41,0,0,0
AGUS SETIAWAN,259466,S1 - Pendidikan Teknik Mesin,3.063,1.377,0,0,12,20,6,17,46,2,1,2,1,112,636,75,169,1417,107,58,110,30
ELLY MALIHAH,5978468,S2 - Pariwisata,984,328,0,0,2,17,0,0,28,0,1,1,1,12,9,4,204,3322,105,0,0,0
DEDE ROHMAT,6006073,S3 - Pendidikan Geografi,617,329,0,0,3,7,,0,5,,1,1,,19,22,8,81,302,38,0,0,0
WINNY LILIAWATI,257924,S2 - Pendidikan Fisika,1.079,492,0,0,4,11,1,1,15,0,1,1,2,33,54,14,116,512,67,1,1,1
YETI MULYATI,5993970,S3 - Pendidikan Bahasa Indonesia,571,311,0,0,2,13,,0,15,,1,1,,12,10,5,143,1011,61,0,0,0
RIANDI,5995561,S3 - Pendidikan Ilmu Pengetahuan Alam,1.723,969,0,0,6,12,1,4,17,0,1,1,1,45,131,25,138,723,99,27,4,3
