dept,sinta_score_overall,sinta_3yr_score
"S2,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya",1462,1023
"S1,Pendidikan Jasmani, Kesehatan Dan Rekreasi",2072,1018
"S1,Ilmu Pendidikan Agama Islam",2014,1012
"S3,Pendidikan Ilmu Pengetahuan Sosial",1984,1008
"S2,Pendidikan Ilmu Pengetahuan Sosial",1171,865
"S1,Pendidikan Kesejahteraan Keluarga",6287,3033
"S1,Kimia",8372,2956
"S3,Pendidikan Teknologi dan Kejuruan",5005,2765
"S1,Teknik Elektro",10799,4898
"S1,Pendidikan Bisnis",2511,1006
"S1,Pendidikan Tata Boga",1790,1006
"S2,Linguistik",1609,957
"S1,Pendidikan Teknologi Agroindustri",1790,925
"S2,Bimbingan Dan Konseling",1094,859
"S2,Pendidikan Bahasa Inggris",1638,846
"S3,Pendidikan Ekonomi",1672,805
"S1,Teknik Sipil",1198,781
"S2,Pendidikan Biologi",4163,2683
"S2,Pendidikan Kimia",5424,2513
"S3,Pendidikan Bahasa Inggris",4029,2491
"S1,Pendidikan Teknik Mesin",11676,4840
"S2,Pendidikan Ilmu Pengetahuan Alam",8867,4540
"S1,Pendidikan Matematika",8773,4528
"S2,Pendidikan Bahasa dan Budaya Sunda",1605,895
"S1,PGSD Pendidikan Jasmani",1572,871
"S3,Pendidikan Geografi",3791,2221
"S3,Pendidikan Olahraga",3345,2218
"S1,Pendidikan Teknik Otomasi Industri dan Robotika",4454,2206
"S1,Pendidikan Bahasa Arab",1156,741
"S1,Bimbingan Dan Konseling",821,699
"S2,Manajemen",1285,699
"S3,Pendidikan Seni",1504,698
"S2,Pendidikan Sosiologi",1284,676
"D3,Keperawatan",3535,2483
"S2,Arsitektur",5528,2446
"S1,Pendidikan Kimia",3933,2305
"S3,Pendidikan Khusus",2909,2244
"S1,PGSD Kampus Sumedang",7083,4399
"S1,Ilmu Keolahragaan",12817,3995
"S3,Manajemen",6481,3524
"S1,Pendidikan Biologi",6268,3523
"S1,Sistem Telekomunikasi",6266,2148
"S3,Pengembangan Kurikulum",2945,2101
"S1,Pendidikan Teknik Elektro",4453,1930
"S1,Biologi",4427,1860
"S1,PGSD Kampus Tasikmalaya",2326,1774
"S1,Pendidikan IPA",6365,3240
"S1,Pendidikan Teknik Otomotif",6676,3209
"S1,Ilmu Komputer",3961,1718
"S1,PGSD Penjas Kampus Sumedang",2147,1643
"S2,Administrasi Pendidikan",1315,658
"Pro,Pendidikan Profesi Guru",1260,654
"S1,Desain Produk Industri Kampus Tasikmalaya",801,625
"S3,Pendidikan Kewarganegaraan",963,530
"S3,Linguistik",736,625
"S3,Pendidikan Bahasa Indonesia",614,526
"S1,Manajemen",929,514
"S1,Pendidikan Bahasa Sunda",1505,481
"S1,PGSD Kampus Serang",695,615
"D3,Teknik Mesin",1368,605
"S3,Pendidikan Sejarah",1575,603
"S1,Perpustakaan dan Sains Informasi",709,478
"S1,Bahasa dan Sastra Inggris",972,591
"S1,Ilmu Komunikasi",825,548
"S2,Psikologi Pendidikan",840,541
"S2,Pendidikan Guru Sekolah Dasar Kampus Cibiru",841,478
"S1,Rekayasa Perangkat Lunak",950,465
"S1,Manajemen Resort dan Leisure",1059,462
"S2,Pendidikan Jasmani",544,453
"S1,Pendidikan Masyarakat",613,448
"S1,Pendidikan Guru Pendidikan Anak Usia Dini",830,453
"S2,Pengembangan Kurikulum",481,440
"S1,Arsitektur",698,367
"S2,Pendidikan Masyarakat",759,424
"S2,Pendidikan Bahasa Arab",648,414
"S1,Sistem Informasi Kelautan",528,350
"S1,Pendidikan Multimedia Kampus Cibiru",459,337
"S1,Pendidikan IPS",632,412
"S1,PGSD Kampus Purwakarta",706,410
"S1,PGPAUD Kampus Cibiru",699,335
"S3,Pendidikan Umum dan Karakter",613,318
"S2,Pendidikan Bahasa Jepang",776,400
"S1,Pendidikan Manajemen Perkantoran",861,393
"S1,Film dan Televisi",430,316
"S1,PGPAUD Kampus Tasikmalaya",402,309
"S2,Manajemen Perkantoran",502,369
"S1,Bahasa dan Sastra Indonesia",512,368
"S2,Pendidikan Seni",343,293
"S2,Pendidikan Olahraga",434,288
"S1,Mekatronika dan Kecerdasan Buatan Kampus Purwakart",698,280
"S1,Pendidikan Sejarah",280,166
"S1,Administrasi Pendidikan",212,134
"S1,Teknologi Pendidikan",225,123
"S1,Pendidikan Tata Busana",439,120
"S1,Manajemen Industri Katering",246,118
"S1,Psikologi",258,98
"S1,Pendidikan Seni Rupa",90,90
"S2,Magister Ilmu Akuntansi",88,88
"S1,Pendidikan Bahasa Jepang",125,80
"S1,Akuntansi",79,79
"S1,Pendidikan Bahasa Dan Sastra Indonesia",206,206
"S1,Teknik Logistik",240,196
"S1,Pendidikan Seni Musik",235,195
"S1,Pendidikan Teknik Bangunan",278,190
"S1,Teknik Komputer",598,178
"S2,Pariwisata",535,176
"S1,Kepelatihan Fisik Olahraga",204,174
"S1,Bisnis Digital",257,172
"S2,Pendidikan Bahasa Perancis",330,171
"S1,Sains Informasi Geografi",1883,1160
"S2,Pendidikan Bahasa Indonesia Bagi Penutur Asing",208,168
"S2,Pendidikan Kewarganegaraan",2228,1132
"S1,Pendidikan Bahasa Korea",1798,1114
"S1,Pendidikan Geografi",1719,1106
"S1,Pendidikan Khusus",1190,1096
"S3,Administrasi Pendidikan",2511,1093
"S2,Pedagogik",125,35
"S1,Pendidikan Bahasa Perancis",58,28
"S1,Pendidikan Pariwisata",1666,1083
"S1,Matematika",2308,1072
"S1,Pendidikan Teknik Arsitektur",1954,1071
"S1,Pendidikan Bahasa Jerman",15,15
"S2,Pendidikan Umum dan Karakter",15,15
"S2,Pendidikan Khusus",12,12
"S2,Pendidikan Sejarah",11,11
"S1,Desain Komunikasi Visual",7,7
"S3,Bimbingan Dan Konseling",1555,1047
"Pro,Ners",0,0
"S1,Musik",0,0
"S1,Logistik Kelautan",0,0
