nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
ASEP BAYU DANI NANDIYANTO,Kimia (S2),5974504,31,39,3.633,8.943,0,0
ACHMAD SAMSUDIN,Pendidikan Fisika (S1),257767,14,26,2.699,4.626,0,0
ADE GAFAR ABDULLAH,Pendidikan Teknologi dan Kejuruan (S2),257412,11,17,2.123,5.594,0,0
WAHYUDIN,Pendidikan Dasar (S3),5991845,6,15,1.835,3.143,0,0
ANDI SUHANDI,Pendidikan Fisika (S2),6005865,13,20,1.722,3.039,0,0
SYIFAUL FUADA,Sistem Telekomunikasi (S1),5981677,13,20,1.312,3.181,0,0
SUFYANI PRABAWANTO,Pendidikan Matematika (S2),5995121,6,14,1.277,1.697,0,0
WAHYU SOPANDI,Pendidikan Dasar (S3),5989208,6,18,1.258,2.031,0,0
ARI WIDODO,Pendidikan Ilmu Pengetahuan Alam (S2),257822,7,20,1.237,2.690,0,0
AGUS SETIAWAN,Pendidikan Teknik Mesin (S1),259466,12,20,1.229,2.899,0,0
ANA,Pendidikan Kesejahteraan Keluarga (S1),5994248,6,11,1.014,1.725,0,0
ENDI SUHENDI,Fisika (S1),5976806,7,16,966,1.890,0,0
AL JUPRI,Pendidikan Matematika (S1),5974523,7,15,947,2.252,0,0
IDA HAMIDAH,Pendidikan Teknik Otomotif (S1),5978332,8,14,926,1.897,0,0
ACHMAD HUFAD,Pendidikan Khusus (S3),5977826,5,0,925,1.295,0,0
ISMA WIDIATY,Pendidikan Kesejahteraan Keluarga (S1),5978971,6,13,836,1.734,0,0
LILIK HASANAH,Fisika (S1),5994035,8,12,829,1.878,0,0
FITRI KHOERUNNISA,Kimia (S1),258263,12,14,820,1.888,0,0
NURYANI RUSTAMAN,Pendidikan Ilmu Pengetahuan Alam (S3),5991811,6,26,817,1.735,0,0
RATIH HURRIYATI,Manajemen (S3),5984336,8,15,806,1.966,0,0
LILIASARI,Pendidikan Ilmu Pengetahuan Alam (S3),5991831,9,20,792,1.483,0,0
LALA SEPTEM RIZA,Pendidikan Ilmu Komputer (S2),5975668,12,15,792,2.522,0,0
ARIF HUSEIN LUBIS,Pendidikan Bahasa Korea (S1),6755247,3,7,424,642,0,0
SITI FATIMAH,Pendidikan Matematika (S2),5978161,7,11,774,1.424,0,0
ISROK ATUN,PGSD Kampus Sumedang (S1),5993192,4,11,422,657,0,0
HELI SITI HALIMATUL MUNAWAROH,Kimia (S2),5978104,12,12,771,1.232,0,0
AGUS RAHAYU,Manajemen (S3),5985049,4,8,420,790,0,0
EKA CAHYA PRIMA,Pendidikan IPA (S1),5977482,10,14,758,1.824,0,0
TOPIK HIDAYAT,Biologi (S1),256954,7,14,739,1.755,0,0
SUWATNO,Pendidikan Ekonomi (S2),5991814,2,16,416,1.024,0,0
DIDI SUHERDI,Pendidikan Bahasa Inggris (S3),5978101,3,13,410,687,0,0
NANANG PRIATNA,Pendidikan Matematika (S2),5980973,5,12,723,1.279,0,0
YULIA RAHMAWATI,Pendidikan Teknologi dan Kejuruan (S3),5999482,9,4,719,1.076,0,0
AHMAD MUDZAKIR,Pendidikan Kimia (S2),5994127,5,11,409,911,0,0
SRI ANGGRAENI,Pendidikan Biologi (S2),6006569,5,10,715,1.056,0,0
TURMUDI,Pendidikan Matematika (S3),5991823,7,12,701,1.218,0,0
EENG AHMAN,Manajemen (S3),5991829,5,13,406,574,0,0
ANDRIA PRAGHOLAPATI,Keperawatan (D3),6774276,0,13,406,569,0,0
AMUNG MAMUN,Pendidikan Olahraga (S3),5994366,2,11,401,590,0,0
DENI DARMAWAN,Pengembangan Kurikulum (S3),5973309,5,31,1.214,2.060,0,0
RIZKY ROSJANUARDI,Pendidikan Matematika (S2),5978531,3,6,399,1.223,0,0
AGUS RUSDIANA,Ilmu Keolahragaan (S1),5975690,10,8,1.170,2.510,0,0
ROER EKA PAWINANTO,Pendidikan Teknik Otomasi Industri dan Robotika (S1),6745886,8,9,664,1.403,0,0
DADI RUSDIANA,Pendidikan Fisika (S2),5974813,10,17,1.163,2.289,0,0
JULIA,PGSD Kampus Sumedang (S1),5975686,6,12,1.147,1.786,0,0
WAHYUDIN,Pendidikan Ilmu Komputer (S2),5979725,6,3,654,1.167,0,0
DADANG JUANDI,Pendidikan Matematika (S3),6042761,5,13,1.115,1.274,0,0
IRMA DARMAWATI,Keperawatan (D3),6725313,1,4,654,1.052,0,0
IDA KANIAWATI,Pendidikan Ilmu Pengetahuan Alam (S3),6005868,12,24,1.109,1.931,0,0
DR.PARLINDUNGAN SINAGA M.SI,Pendidikan Ilmu Pengetahuan Alam (S3),5989835,5,12,651,1.297,0,0
JARNAWI AFGANI DAHLAN,Pendidikan Matematika (S3),5974544,5,21,645,1.286,0,0
DIDI SURYADI,Pendidikan Matematika (S3),5994183,7,24,1.102,2.196,0,0
PARSAORAN SIAHAAN,Pendidikan Ilmu Pengetahuan Alam (S2),6088571,5,12,628,1.213,0,0
SELLY FERANIE,Fisika (S1),5978969,6,12,620,1.226,0,0
TATANG HERMAN,Pendidikan Dasar (S3),5986217,7,18,1.098,1.683,0,0
TEDI SUPRIYADI,PGSD Penjas Kampus Sumedang (S1),5993317,7,10,613,791,0,0
DARHIM,Pendidikan Matematika (S3),6166301,6,9,610,1.019,0,0
WAWAN SETIAWAN,Pendidikan Ilmu Komputer (S2),5977494,8,17,1.034,1.755,0,0
