name,sinta_id,title,quartile,journal,author_order,creator,year,cited
ENDI SUHENDI,5976806,Model of a tunneling current in a p-n junction based on armchair graphene nanoribbons - An Airy function approach and a transfer matrix method,Q4 Journal,AIP Conference Proceedings,Author Order : 1 of 5,Creator : Suhendi E.,2014,4 cited
ENDI SUHENDI,5976806,Improving Students' Science Process Skills through Simple Computer Simulations on Linear Motion Conceptions,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 5,Creator : Siahaan P.,2017,35 cited
ENDI SUHENDI,5976806,Alleviating students’ misconceptions about newton’s first law through comparing pdeode*E tasks and poe tasks: Which is more effective?,no-Q Journal,Turkish Online Journal of Educational Technology,Author Order : 4 of 10,Creator : Samsudin A.,2017,17 cited
ENDI SUHENDI,5976806,Preface: MSCEIS 2016,Q4 Journal,AIP Conference Proceedings,Author Order : 4 of 5,Creator : Hidayat T.,2017,0 cited
ENDI SUHENDI,5976806,The transformation of two-tier test into four-tier test on Newton's laws concepts,Q4 Journal,AIP Conference Proceedings,Author Order : 3 of 5,Creator : Fratiwi N.,2017,19 cited
YAYAN SANJAYA,5978995,"Distribution of malarian vector: A case study in Pelabuhanratu Region, West Java, Indonesia",Q4 Journal,Journal of Entomological Research,Author Order : 1 of 3,Creator : Sanjaya Y.,2015,1 cited
YAYAN SANJAYA,5978995,Entomopathogenic characterization of Beauveria bassiana fungi against Tetranychus kanzawai (Kishida) (Tetranychidae: Acarina) spider mite by its region,Q4 Journal,Thai Journal of Agricultural Science,Author Order : 1 of 3,Creator : Sanjaya Y.,2014,0 cited
YAYAN SANJAYA,5978995,Infection process of entomopathogenic fungi Metarhizium anisopliae in the Tetrancyhus kanzawai (KISHIDA) (Tetranychidae: Acarina),Q4 Journal,Agrivita,Author Order : 1 of 3,Creator : Sanjaya Y.,2013,7 cited
ENDI SUHENDI,5976806,Promoting collaboration skills on reflection concept through multimedia-based integrated instruction,Q4 Journal,AIP Conference Proceedings,Author Order : 3 of 4,Creator : Hermawan H.,2017,6 cited
ENDI SUHENDI,5976806,Effect of Si interface surface roughness to the tunneling current of the Si/Si,Q4 Journal,AIP Conference Proceedings,Author Order : 2 of 7,Creator : Hasanah L.,2016,0 cited
ENDI SUHENDI,5976806,The Influence of Using Momentum and Impulse Computer Simulation to Senior High School Students' Concept Mastery,Q3 Journal,Journal of Physics: Conference Series,Author Order : 5 of 5,Creator : Kaniawati I.,2016,31 cited
ENDI SUHENDI,5976806,Model of a tunneling current in a p-n junction based on armchair graphene nanoribbons - An Airy function approach and a transfer matrix method,Q4 Journal,AIP Conference Proceedings,Author Order : 1 of 5,Creator : Suhendi E.,2014,4 cited
ENDI SUHENDI,5976806,"Simulation of drain currents of double gated armchair graphene nanoribbon field-effect transistors by solving Dirac ""like"" equation and using transfer matrix method",Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 5,Creator : Suhendi E.,2014,5 cited
ENDI SUHENDI,5976806,Simulation of dirac tunneling current of an armchair graphene nanoribbon-based p-n junction using a transfer matrix method,no-Q Journal,Advanced Materials Research,Author Order : 1 of 5,Creator : Suhendi E.,2014,7 cited
ANDRIA PRAGHOLAPATI,6774276,Differences of electroencephalography wave with eyes-closed between older women with dementia and without dementia,Q4 Journal,Journal of Engineering Research (Kuwait),Author Order : 2 of 6,Creator : Fitriana L.A.,2021,0 cited
ANDRIA PRAGHOLAPATI,6774276,The Effect of Multiple Treatment Action: Yoga and Chamomile on Dismenore and Adolescent Anxiety,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 4 of 4,Creator : Murtiningsih,2021,0 cited
ENDI SUHENDI,5976806,Rasch analysis of Multitier Open-ended Light-Wave Instrument (MOLWI): Developing and assessing second-years sundanese-scholars alternative conceptions,Q2 Journal,Journal for the Education of Gifted Young Scientists,Author Order : 4 of 6,Creator : Aminudin A.H.,2019,13 cited
ENDI SUHENDI,5976806,The effect of SrO doping on LaFeO,Q3 Journal,International Journal of Nanoelectronics and Materials,Author Order : 1 of 4,Creator : Suhendi E.,2019,3 cited
ENDI SUHENDI,5976806,OSW-CTST: A Developing Study of Oscillation and Sound Wave-Critical Thinking Skills Test,Q4 Journal,Journal of Physics: Conference Series,Author Order : 14 of 17,Creator : Hidayat S.R.,2019,1 cited
ENDI SUHENDI,5976806,Promoting Oral-Communication Skill to the students of Seventh Grade on Earth Science Content Using Multimedia Based Integrated Instruction (MBI,Q4 Journal,Journal of Physics: Conference Series,Author Order : 14 of 16,Creator : Setyadin A.H.,2019,1 cited
ENDI SUHENDI,5976806,Overcoming Senior High School Students' Misconceptions on Newton's Laws: A DSLM with Inquiry Learning based Computer Simulations,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 16,Creator : Fratiwi N.J.,2019,5 cited
ENDI SUHENDI,5976806,"Predict, Plan, Observe, Explain and Write (PPOEW): A Strategy to Prevent Students' Misconceptions On Work and Energy Topics",Q4 Journal,Journal of Physics: Conference Series,Author Order : 15 of 15,Creator : Jubaedah D.S.,2019,1 cited
ENDI SUHENDI,5976806,Effect of Crystal Orientation on Tunneling Currents in an Anisotropic Si/Si0.5Ge0.5/Si Heterostructure with a Nanometer-thick Barrier,Q3 Journal,Materials Today: Proceedings,Author Order : 5 of 8,Creator : Hasanah L.,2018,4 cited
ENDI SUHENDI,5976806,Effect of germanium concentrations on tunnelling current calculation of Si/Si,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 3,Creator : Hasanah L.,2018,0 cited
ENDI SUHENDI,5976806,Fabrication and Characterization of Thick Film Ceramics La,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 3,Creator : Ariyani N.,2018,3 cited
ENDI SUHENDI,5976806,Seventh Grade Students' Scientific Creativity Test: A Preliminary-Study on Earth Science Context,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 5,Creator : Samsudin A.,2018,5 cited
ENDI SUHENDI,5976806,Multi-hop wireless sensor network performance and energy simulation,Q4 Journal,Pertanika Journal of Science and Technology,Author Order : 4 of 6,Creator : Hasanah L.,2018,2 cited
ENDI SUHENDI,5976806,Tunneling current of electron in armchair graphene nanoribbon bipolar transistor model using transfer matrix method,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 5 of 5,Creator : Fahmi A.K.,2017,1 cited
ENDI SUHENDI,5976806,Enhancing Students' Critical Thinking Skills through Multimedia Based Integrated Instruction (MBI2) on Solar System Concept,Q4 Journal,Journal of Physics: Conference Series,Author Order : 13 of 15,Creator : Bhakti S.S.,2019,0 cited
