dept,sinta_score_overall,sinta_3yr_score
"S1,Pendidikan Teknik Mesin",12835,5618
"S1,PGSD Kampus Sumedang",9301,5582
"S1,Pendidikan Matematika",10300,5529
"S1,Teknik Elektro",11228,5066
"S2,Pendidikan Ilmu Pengetahuan Alam",10077,4989
"S1,Pendidikan Biologi",7940,4518
"S1,Ilmu Keolahragaan",13377,4342
"S3,Manajemen",8429,4144
"S1,PGSD Kampus Cibiru",4727,3972
"S1,Pendidikan IPA",7279,3797
"S3,Linguistik",1202,946
"S2,Manajemen",1659,930
"S2,Pendidikan Sosiologi",1639,866
"S1,Pendidikan Bahasa Arab",1375,829
"S1,Bimbingan Dan Konseling",1037,820
"Pro,Pendidikan Profesi Guru",1670,806
"S3,Pendidikan Bahasa Indonesia",1094,779
"S3,Pendidikan Seni",1810,778
"S2,Pengembangan Kurikulum",1007,777
"S1,Desain Produk Industri Kampus Tasikmalaya",1036,775
"S1,Ilmu Komunikasi",1093,766
"S2,Administrasi Pendidikan",1443,761
"S2,Psikologi Pendidikan",1183,749
"S1,Ilmu Komputer",4470,1940
"S1,Manajemen",1253,738
"S3,Pendidikan Kewarganegaraan",1421,694
"S2,Pendidikan Jasmani",982,691
"S1,Pendidikan Kepelatihan Olahraga",3725,1940
"D3,Survey Pemetaan dan Informasi Geografis",2272,1866
"S1,PGSD Penjas Kampus Sumedang",2446,1862
"S3,Pendidikan Masyarakat",2617,1544
"S1,PGSD Kampus Purwakarta",1234,663
"S2,Manajemen Perkantoran",1013,660
"S1,Perpustakaan dan Sains Informasi",1083,645
"S1,Biologi",4519,1840
"S1,Pendidikan Ilmu Komputer",4477,1698
"S1,Pendidikan Khusus",2268,1464
"S1,Pendidikan Sistem dan Teknologi Informasi Kampus P",2399,1457
"S2,Pendidikan Kewarganegaraan",2734,1451
"S2,Pendidikan Bahasa Jepang",1402,630
"S2,Pendidikan Ekonomi",2770,1689
"S1,Pendidikan Bahasa Inggris",2663,1680
"S1,Pendidikan Jasmani, Kesehatan Dan Rekreasi",3261,1624
"S3,Pendidikan Ilmu Pengetahuan Sosial",2551,1404
"S1,Pendidikan Teknik Arsitektur",2522,1372
"S2,Pendidikan Geografi",3390,1360
"S1,Ilmu Pendidikan Agama Islam",2755,1558
"S3,Pendidikan Ekonomi",2402,1300
"S1,Pendidikan Geografi",2015,1270
"S2,Pendidikan Bahasa Inggris",2156,1249
"S2,Pendidikan Bahasa Arab",997,605
"S3,Administrasi Pendidikan",3201,1238
"S1,Pendidikan Guru Pendidikan Anak Usia Dini",1000,578
"S2,Pendidikan Masyarakat",974,574
"S1,Pendidikan Akuntansi",2087,567
"S1,Pendidikan Manajemen Perkantoran",1284,566
"D3,Teknik Mesin",2218,1222
"S2,Linguistik",2065,1222
"S1,Sains Informasi Geografi",1928,1195
"S3,Bimbingan Dan Konseling",1767,1169
"S1,Pendidikan Multimedia Kampus Cibiru",694,507
"S1,Pendidikan Bahasa Sunda",1535,501
"S2,Pariwisata",1158,561
"S1,Rekayasa Perangkat Lunak",1035,548
"S1,PGPAUD Kampus Purwakarta",753,546
"S2,Pendidikan Guru Sekolah Dasar Kampus Cibiru",983,545
"S1,Pendidikan Pariwisata",1821,1168
"S1,Matematika",2529,1156
"S1,PGPAUD Kampus Tasikmalaya",1856,1152
"S2,Pendidikan Bahasa dan Budaya Sunda",2161,1145
"S1,Manajemen Resort dan Leisure",1120,493
"S1,Arsitektur",848,487
"S1,Bahasa dan Sastra Indonesia",652,483
"S3,Pendidikan Umum dan Karakter",1082,481
"S1,Pendidikan Masyarakat",732,513
"S1,Pendidikan Bahasa Korea",1853,1141
"S2,Pendidikan Olahraga",1650,450
"S1,Pendidikan IPS",692,446
"S1,Pendidikan Seni Tari",751,477
"S2,Pendidikan Agama Islam",761,477
"S2,Pendidikan Anak Usia Dini",1358,463
