name,sinta_id,pub_year,pub_num
TEDI SUPRIYADI,5993317,"2018,2019,2020,2021,2022,","3,12,10,5,5,"
MUHAMAD PARHAN,6709291,"2020,2021,2022,","1,0,2,"
MUMU KOMARO,5993878,"2015,2016,2017,2018,2019,2020,2021,2022,","1,0,0,7,5,7,5,3,"
EENG AHMAN,5991829,"2017,2018,2019,2020,2021,2022,","1,1,10,10,1,2,"
PRANA DWIJA ISWARA,5977036,"2018,2019,2020,2021,2022,","2,9,2,2,1,"
ENDI SUHENDI,5976806,"2014,2015,2016,2017,2018,2019,2020,2021,2022,","4,0,2,9,5,14,15,10,2,"
ASEP YUDI PERMANA,5977218,"2018,2019,2020,2021,","4,0,5,2,"
DASIM BUDIMANSYAH,5979876,"2015,2016,2017,2018,2019,2020,2021,","1,5,1,0,2,5,5,"
YAYAN SANJAYA,5978995,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,","1,1,1,3,7,5,7,6,10,2,"
GALUH YULIANI,5975260,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,","1,0,1,0,1,1,1,0,1,6,4,4,8,1,"
DEDY ACHMAD KURNIADY,5993195,"2016,2017,2018,2019,2020,2021,2022,","2,1,1,4,10,3,9,"
MUSLIM,6028471,"2015,2016,2017,2018,2019,2020,2021,2022,","2,0,7,6,21,10,2,2,"
DINN WAHYUDIN,5983880,"2017,2018,2019,2020,2021,2022,","1,0,4,4,2,3,"
YANTY WIRZA,6658778,"2018,2019,2020,2021,","1,1,3,4,"
SETIYA UTARI,5995367,"2017,2018,2019,2020,","5,3,11,11,"
DIAN USDIYANA,6041973,"2019,2020,2021,2022,","3,8,2,1,"
RATIH HURRIYATI,5984336,"2015,2016,2017,2018,2019,2020,2021,2022,","2,4,5,14,7,9,5,5,"
TAUFIK RAHMAN,6081100,"2017,2018,2019,2020,2021,","4,0,8,3,2,"
GHULLAM HAMDU,5994188,"2018,2019,2020,2021,","1,4,0,2,"
SUNARDI,6656915,"2019,2020,2021,","1,7,1,"
ARIF HUSEIN LUBIS,6755247,"2016,2017,2018,2019,2020,2021,2022,","1,0,1,4,5,2,1,"
HAMIDIE RONALD DANIEL RAY,5978997,"2015,2016,2017,2018,2019,2020,2021,2022,","1,0,9,1,1,4,5,1,"
DINI HANDAYANI,6676481,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,","2,0,1,2,1,6,3,2,5,6,2,14,1,"
HARRY FIRMAN,6132494,"2015,2016,2017,2018,2019,2020,","1,4,13,8,15,6,"
